UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
233c3520-2943-4d1b-b36e-cd2bf1c0cdca	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	Berg	true	הַר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Berg		2024-12-13T04:00:20,153	448	0	false
659fed20-c840-4764-89a5-abe4042b91ed	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	besuchen	true	לְבַקֵּר					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	INFINITIVE	בקר (אצל)	besuchen	בקר	2024-12-13T04:00:20,164	98	0	false
9bd324a5-439b-4d16-a9e8-b980ee732fa5	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	Brot	true	לֶחֶם					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Brot		2024-12-13T04:00:20,164	221	0	false
9aa191d7-23bf-455a-b748-0a86908cb8af	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 25 - Bank	Bank (Geld)	true	בַּנְק					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Bank		2024-12-13T04:00:20,164	94	0	false
bd9e9c9c-3678-404a-b595-2abccfe78f68	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	Bleistifte	true	עֶפְרוֹנוֹת					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Bleistift,Bleistifte		2024-12-13T04:00:20,164	300	0	false
e5b02f6c-c62e-4328-a506-500a9e62041f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 17 - Schlange stehen	bitten, gerne wollen	true	לְבַקֵּשׁ					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	INFINITIVE		bitten,gerne wollen	בקשׁ	2024-12-13T04:00:20,164	100	0	false
f32438b5-d854-4289-90d3-1ca431e36468	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	Bahn, Zug	true	רַכֶּבֶת					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Bahn,Zug		2024-12-13T04:00:20,164	349	0	false
4c608514-a343-4470-a717-74afd6c093c6	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 17 - Schlange stehen	beabsichtigen, meinen	false		להתכוון	לְהִתְכַּוֵּן			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	INFINITIVE		meinen,beabsichtigen	כון	2024-12-13T04:00:20,164	188	0	false
c0aaff74-f3b2-4f3a-9e7a-747a3baa9202	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 09 - Ort	bei (Personen)	true	אֵצֶל					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		bei		2024-12-13T04:00:20,164	56	0	false
3fda6fef-1d63-4e88-9f97-c1e0b6781ac4	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	Boden, Erde	true	אֲדָמָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Boden,Erde		2024-12-13T04:00:20,153	405	0	false
